company_name,ID,rating,title,author,description
Abbvie,1c2n8pqem5n8qbgr,3,Starting to become like big pharma instead of biotech,"Territory Manager, Immunology",Micro-management for biotech\r Too many programs that weren't necessarily contributing to medical education.\r Many failures in the pipeline.\r Seemed like they were favoring a younger sales force instead of seasoned with experience.
Abbvie,1fl6hh7c7n5co802,1,Good Pay but Toxic,Customer Service Representative,Run quickly. All money not good money and you will spend most of it if you work in Pharmacy Solutions for medical care and treatment.Very toxic work environment with toxic managers and supervisors.
Abbvie,1fknstus9sa8i800,5,"Progressive, offers great training, leadership, It is a very inclusive workplace",Executive Assistant,"This is the best company in my 35 yr career.  I feel that most people are very successful, talented and really care about every aspect of their job.  Management is exceptional and is willing to go all the way for their team."
Abbvie,1fknrks2nu20t802,3,They bought us and all went south,Manager,"Allergan was great, then Abbvie came to town with lots of demands but little to no plan. As usual with a buyout, the lesser company got squeezed for everything they had, driving production numbers while reducing budget. I didn't like the new management so hit the road. "
Abbvie,1fjjknhhhu1am802,5,"Good, solid company. Lots of opportunities. ",Human Resources Generalist,"Just like any large company, has its share of negatives and bureaucracy. Lots of great people and room to grow. Work/life balance can be a challenge. "
Abbvie,1fiqrt5m0u270802,3,Great Benefits,Paralegal,If you're looking for stability and great benefits then AbbVie is a great place to work. They have a pension! There was little room for growth in my department.
Abbvie,1fie0abko3o7j002,2,Lately has become very autocratic management,Director IT,Used to be a great company to work for. Leadership changes in IT in last 3-4 years has maligned the culture of the company. It has become autocratic management way of working. 
Abbvie,1fi2mq75uu1ns801,5,Great place to work,Tech,"The job can be stressful at times, but we always accomplish our deadlines with the help of staff. This job requires good documentation skills and alertness. Learned a lot of new things working for fermentation and proper PPE to wear with different chemicals. With a great trainer, things can run smoothly. Unfortunately, some trainers arent always the best, but taking notes always helps."
Abbvie,1fi0tuo1jsa0n800,1,Poor enviroment,Quality Assurance Specialist,Abbvie does not allow the professional development and also either recognize the commitment/ preparation of its employees. The continual improvement and lean manufacturing does not exist.
Abbvie,1fi0gnarin52s800,4,"Meaningful work, not enough recognition",Project Information Manager,"The work is very meaningful, but decisions are often made without the right stakeholders or team members even being included. The company preaches innovation but internal bureaucracy often hinders it. Your manager has little say in terms of whether you get promoted. HR will block it if they don\xe2\x80\x99t think you\xe2\x80\x99ve been in the role long enough, even if you meet the promotion\xe2\x80\x99s job description. Although if you suck up to the right VPs, you can get whatever you want. Very patient centric company that is always focusing on improving culture though. Good leaders who look for long term company stability. "
